time,price,quantity,source,buyer,seller,initiator
20190304T153345,105.14,400,Auto trade,,,
20190304T153346,105.14,689,Auto trade,,,
20190304T153346,105.13,100,Auto trade,,,
20190304T153346,105.14,100,Auto trade,,,
20190304T153346,105.15,100,Auto trade,,,
20190304T153347,105.14,100,Auto trade,,,
20190304T153349,105.12,100,Auto trade,,,
20190304T153349,105.11,200,Auto trade,,,
20190304T153349,105.1,200,Auto trade,,,
20190304T153349,105.08,150,Auto trade,,,
20190304T153349,105.07,107,Auto trade,,,
20190304T153349,105.06,100,Auto trade,,,
20190304T153349,105.05,214,Auto trade,,,
20190304T153349,105.06,100,Auto trade,,,
20190304T153349,105.05,100,Auto trade,,,
20190304T153350,105.05,1883,Auto trade,,,
20190304T153351,105.04,100,Auto trade,,,
20190304T153351,105.03,200,Auto trade,,,
20190304T153351,105.04,200,Auto trade,,,
20190304T153351,105.045,100,Auto trade,,,
20190304T153351,105.04,400,Auto trade,,,
20190304T153352,105.0382,160,Auto trade,,,
20190304T153352,105.045,100,Auto trade,,,
20190304T153352,105.06,100,Auto trade,,,
20190304T153352,105.03,100,Auto trade,,,
20190304T153354,105.04,100,Auto trade,,,
20190304T153354,105.02,400,Auto trade,,,
20190304T153355,105.02,500,Auto trade,,,
20190304T153355,105.0,100,Auto trade,,,
20190304T153358,105.02,300,Auto trade,,,
20190304T153358,105.03,100,Auto trade,,,
20190304T153358,105.02,500,Auto trade,,,
20190304T153359,105.05,200,Auto trade,,,
20190304T153359,105.01,100,Auto trade,,,
20190304T153359,104.99,100,Auto trade,,,
20190304T153400,104.99,200,Auto trade,,,
20190304T153401,104.99,100,Auto trade,,,
20190304T153402,104.995,100,Auto trade,,,
20190304T153404,105.0,100,Auto trade,,,
20190304T153404,105.01,605,Auto trade,,,
20190304T153404,105.02,100,Auto trade,,,
20190304T153404,105.04,100,Auto trade,,,
20190304T153404,105.03,100,Auto trade,,,
20190304T153405,105.04,100,Auto trade,,,
20190304T153405,105.05,100,Auto trade,,,
20190304T153405,105.055,100,Auto trade,,,
20190304T153405,105.05,100,Auto trade,,,
20190304T153406,105.05,530,Auto trade,,,
20190304T153406,105.06,500,Auto trade,,,
20190304T153407,105.07,500,Auto trade,,,
20190304T153407,105.08,500,Auto trade,,,
20190304T153408,105.09,300,Auto trade,,,
20190304T153408,105.08,100,Auto trade,,,
20190304T153408,105.07,100,Auto trade,,,
20190304T153408,105.06,100,Auto trade,,,
20190304T153408,105.05,200,Auto trade,,,
20190304T153408,105.08,300,Auto trade,,,
20190304T153410,105.11,100,Auto trade,,,
20190304T153411,105.13,100,Auto trade,,,
20190304T153411,105.12,100,Auto trade,,,
20190304T153412,105.12,400,Auto trade,,,
20190304T153412,105.08,200,Auto trade,,,
20190304T153412,105.09,200,Auto trade,,,
20190304T153413,105.08,100,Auto trade,,,
20190304T153413,105.1,100,Auto trade,,,
20190304T153415,105.09,200,Auto trade,,,
20190304T153415,105.0748,100,Auto trade,,,
20190304T153419,105.07,100,Auto trade,,,
20190304T153419,105.08,200,Auto trade,,,
20190304T153419,105.06,100,Auto trade,,,
20190304T153419,105.07,100,Auto trade,,,
20190304T153419,105.08,200,Auto trade,,,
20190304T153421,105.052,190,Auto trade,,,
20190304T153421,105.06,100,Auto trade,,,
20190304T153421,105.07,100,Auto trade,,,
20190304T153421,105.08,100,Auto trade,,,
20190304T153426,105.08,100,Auto trade,,,
20190304T153426,105.06,200,Auto trade,,,
20190304T153428,105.04,100,Auto trade,,,
20190304T153428,105.05,100,Auto trade,,,
20190304T153430,105.02,200,Auto trade,,,
20190304T153430,105.03,100,Auto trade,,,
20190304T153430,105.0,731,Auto trade,,,
20190304T153431,105.03,100,Auto trade,,,
20190304T153433,105.04,100,Auto trade,,,
20190304T153433,105.03,100,Auto trade,,,
20190304T153433,105.05,200,Auto trade,,,
20190304T153433,105.03,200,Auto trade,,,
20190304T153433,105.05,100,Auto trade,,,
20190304T153433,105.03,100,Auto trade,,,
20190304T153433,105.05,100,Auto trade,,,
20190304T153434,105.02,100,Auto trade,,,
20190304T153434,105.0198,900,Auto trade,,,
20190304T153435,105.04,100,Auto trade,,,
20190304T153435,105.05,100,Auto trade,,,
20190304T153435,105.04,100,Auto trade,,,
20190304T153437,105.055,115,Auto trade,,,
20190304T153440,105.055,100,Auto trade,,,
20190304T153440,105.07,100,Auto trade,,,
20190304T153441,105.085,2500,Auto trade,,,
20190304T153441,105.1,100,Auto trade,,,
20190304T153441,105.085,100,Auto trade,,,
20190304T153442,105.085,200,Auto trade,,,
20190304T153443,105.1,1245,Auto trade,,,
20190304T153443,105.095,200,Auto trade,,,
20190304T153444,105.11,100,Auto trade,,,
20190304T153446,105.13,100,Auto trade,,,
20190304T153446,105.14,100,Auto trade,,,
20190304T153446,105.12,400,Auto trade,,,
20190304T153446,105.14,500,Auto trade,,,
20190304T153446,105.15,100,Auto trade,,,
20190304T153446,105.14,317,Auto trade,,,
20190304T153446,105.13,100,Auto trade,,,
20190304T153446,105.14,100,Auto trade,,,
20190304T153447,105.12,100,Auto trade,,,
20190304T153448,105.1185,466,Auto trade,,,
20190304T153449,105.13,300,Auto trade,,,
20190304T153450,105.13,800,Auto trade,,,
20190304T153450,105.14,300,Auto trade,,,
20190304T153450,105.12,100,Auto trade,,,
20190304T153450,105.14,100,Auto trade,,,
20190304T153450,105.13,100,Auto trade,,,
20190304T153450,105.125,200,Auto trade,,,
20190304T153450,105.14,100,Auto trade,,,
20190304T153450,105.13,100,Auto trade,,,
20190304T153450,105.14,100,Auto trade,,,
20190304T153451,105.15,100,Auto trade,,,
20190304T153451,105.135,100,Auto trade,,,
20190304T153454,105.15,472,Auto trade,,,
20190304T153454,105.14,190,Auto trade,,,
20190304T153454,105.15,100,Auto trade,,,
20190304T153455,105.15,330,Auto trade,,,
20190304T153455,105.16,100,Auto trade,,,
20190304T153455,105.15,100,Auto trade,,,
20190304T153455,105.16,100,Auto trade,,,
20190304T153456,105.16,100,Auto trade,,,
20190304T153456,105.17,100,Auto trade,,,
20190304T153457,105.175,100,Auto trade,,,
20190304T153458,105.16,300,Auto trade,,,
20190304T153458,105.165,100,Auto trade,,,
20190304T153458,105.17,100,Auto trade,,,
20190304T153459,105.17,100,Auto trade,,,
20190304T153459,105.16,100,Auto trade,,,
20190304T153459,105.17,100,Auto trade,,,
20190304T153459,105.165,102,Auto trade,,,
20190304T153459,105.18,100,Auto trade,,,
20190304T153500,105.18,101,Auto trade,,,
20190304T153503,105.18,100,Auto trade,,,
20190304T153503,105.17,100,Auto trade,,,
20190304T153505,105.17,100,Auto trade,,,
20190304T153507,105.17,300,Auto trade,,,
20190304T153507,105.165,100,Auto trade,,,
20190304T153507,105.17,100,Auto trade,,,
20190304T153508,105.165,100,Auto trade,,,
20190304T153508,105.16,200,Auto trade,,,
20190304T153509,105.15,200,Auto trade,,,
20190304T153511,105.16,100,Auto trade,,,
20190304T153511,105.145,100,Auto trade,,,
20190304T153511,105.16,100,Auto trade,,,
20190304T153514,105.17,120,Auto trade,,,
20190304T153516,105.15,100,Auto trade,,,
20190304T153516,105.145,100,Auto trade,,,
20190304T153517,105.15,100,Auto trade,,,
20190304T153517,105.155,100,Auto trade,,,
20190304T153517,105.17,100,Auto trade,,,
20190304T153518,105.18,100,Auto trade,,,
20190304T153518,105.19,425,Auto trade,,,
20190304T153518,105.2,100,Auto trade,,,
20190304T153518,105.23,500,Auto trade,,,
20190304T153519,105.23,400,Auto trade,,,
20190304T153520,105.19,100,Auto trade,,,
20190304T153520,105.17,100,Auto trade,,,
20190304T153520,105.18,100,Auto trade,,,
20190304T153521,105.19,100,Auto trade,,,
20190304T153522,105.2,100,Auto trade,,,
20190304T153522,105.185,100,Auto trade,,,
20190304T153523,105.21,200,Auto trade,,,
20190304T153523,105.185,100,Auto trade,,,
20190304T153523,105.21,100,Auto trade,,,
20190304T153523,105.19,100,Auto trade,,,
20190304T153523,105.21,100,Auto trade,,,
20190304T153524,105.19,100,Auto trade,,,
20190304T153525,105.2,100,Auto trade,,,
20190304T153525,105.2056,1000,Auto trade,,,
20190304T153526,105.21,100,Auto trade,,,
20190304T153526,105.22,100,Auto trade,,,
20190304T153526,105.225,100,Auto trade,,,
20190304T153526,105.22,100,Auto trade,,,
20190304T153527,105.24,176,Auto trade,,,
20190304T153529,105.2,100,Auto trade,,,
20190304T153529,105.21,100,Auto trade,,,
20190304T153530,105.2,100,Auto trade,,,
20190304T153531,105.18,100,Auto trade,,,
20190304T153531,105.19,100,Auto trade,,,
20190304T153531,105.18,100,Auto trade,,,
20190304T153531,105.2,100,Auto trade,,,
20190304T153531,105.19,100,Auto trade,,,
20190304T153531,105.22,179,Auto trade,,,
20190304T153533,105.19,100,Auto trade,,,
20190304T153533,105.1819,1000,Auto trade,,,
20190304T153534,105.19,100,Auto trade,,,
20190304T153534,105.185,100,Auto trade,,,
20190304T153534,105.18,100,Auto trade,,,
20190304T153534,105.185,200,Auto trade,,,
20190304T153534,105.18,600,Auto trade,,,
20190304T153534,105.19,100,Auto trade,,,
20190304T153535,105.185,200,Auto trade,,,
20190304T153535,105.19,100,Auto trade,,,
20190304T153535,105.2,700,Auto trade,,,
20190304T153535,105.185,200,Auto trade,,,
20190304T153535,105.1875,100,Auto trade,,,
20190304T153535,105.205,100,Auto trade,,,
20190304T153535,105.2072,100,Auto trade,,,
20190304T153535,105.205,100,Auto trade,,,
20190304T153535,105.2072,300,Auto trade,,,
20190304T153535,105.205,300,Auto trade,,,
20190304T153535,105.2072,100,Auto trade,,,
20190304T153535,105.205,200,Auto trade,,,
20190304T153535,105.2072,300,Auto trade,,,
20190304T153535,105.21,100,Auto trade,,,
20190304T153535,105.23,500,Auto trade,,,
20190304T153535,105.22,100,Auto trade,,,
20190304T153535,105.21,100,Auto trade,,,
20190304T153535,105.2144,100,Auto trade,,,
20190304T153535,105.21,152,Auto trade,,,
20190304T153535,105.2144,100,Auto trade,,,
20190304T153535,105.21,100,Auto trade,,,
20190304T153535,105.2144,100,Auto trade,,,
20190304T153535,105.2,193,Auto trade,,,
20190304T153535,105.2044,193,Auto trade,,,
20190304T153536,105.23,100,Auto trade,,,
20190304T153537,105.23,300,Auto trade,,,
20190304T153537,105.215,100,Auto trade,,,
20190304T153537,105.22,100,Auto trade,,,
20190304T153537,105.21,100,Auto trade,,,
20190304T153537,105.22,100,Auto trade,,,
20190304T153537,105.215,100,Auto trade,,,
20190304T153538,105.21,125,Auto trade,,,
20190304T153541,105.23,100,Auto trade,,,
20190304T153541,105.22,200,Auto trade,,,
20190304T153542,105.22,100,Auto trade,,,
20190304T153545,105.22,100,Auto trade,,,
20190304T153546,105.2226,2500,Auto trade,,,
20190304T153546,105.23,500,Auto trade,,,
20190304T153546,105.24,200,Auto trade,,,
20190304T153546,105.25,300,Auto trade,,,
20190304T153546,105.26,2000,Auto trade,,,
20190304T153547,105.255,100,Auto trade,,,
